Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"H1"	,"DS1023-2*4SF11"	,"HDR-TH_8P-P2.54-V-F-R2-C4-S2.54-1"	,"-27.178mm"	,"-14.859mm"	,"-27.178mm"	,"-14.859mm"	,"-28.448mm"	,"-11.049mm"	,"T"	,"270"	,"No"	,"DS1023-2*4SF11"	,
"R1"	,"0805W8F1001T5E"	,"R0805"	,"-5.604mm"	,"-15.113mm"	,"-5.604mm"	,"-15.113mm"	,"-6.604mm"	,"-15.113mm"	,"T"	,"0"	,"Yes"	,"1kΩ"	,
"KEY1"	,"B3F-4055_C84931"	,"KEY-TH_4P-L12.0-W12.0-P5.00-LS13.4-EH"	,"5.207mm"	,"3.048mm"	,"5.207mm"	,"3.048mm"	,"11.457mm"	,"0.548mm"	,"T"	,"0"	,"No"	,"B3F-4055"	,
"C1"	,"GRM21BR60J107ME15L"	,"C0805"	,"-19.304mm"	,"-11.303mm"	,"-19.304mm"	,"-11.303mm"	,"-20.334mm"	,"-11.303mm"	,"T"	,"0"	,"Yes"	,"100uF"	,
"R2"	,"0805W8F1002T5E"	,"R0805"	,"-13.7mm"	,"-11.43mm"	,"-13.7mm"	,"-11.43mm"	,"-14.7mm"	,"-11.43mm"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"R3"	,"0805W8F1002T5E"	,"R0805"	,"-20.701mm"	,"-20.828mm"	,"-20.701mm"	,"-20.828mm"	,"-21.701mm"	,"-20.828mm"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"R4"	,"0805W8F1001T5E"	,"R0805"	,"-14.224mm"	,"-18.288mm"	,"-14.224mm"	,"-18.288mm"	,"-14.224mm"	,"-19.288mm"	,"T"	,"90"	,"Yes"	,"1kΩ"	,
"BT1"	,"MY-2032-12"	,"BAT-SMD_MY-2032-12"	,"-17.653mm"	,"3.937mm"	,"-17.653mm"	,"3.937mm"	,"-6.303mm"	,"3.937mm"	,"T"	,"180"	,"Yes"	,"MY-2032-12"	,
"D1"	,"LL4148_C2857181"	,"LL-34_L3.4-W1.5-RD"	,"-4.953mm"	,"-9.906mm"	,"-4.953mm"	,"-9.906mm"	,"-6.718mm"	,"-9.906mm"	,"T"	,"0"	,"Yes"	,"LL4148"	,
